OBS_ID DATE TIME FIELD FILTER EXPTIME AIRMASS SEEING MAGLIM SUBFIELD_ID QUAD_SUCCESS CCD_ID QUAD_ID
ztf_20180626471539_000728_zg 2018-06-26 11:19:02.669+00 728 g 120.0 1.1139997666881931 2.7519098097278225 20.912201912172378 3 0 1 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 0 0 1 1
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 1 0 1 2
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 2 0 1 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 3 0 1 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 4 0 2 1
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 5 0 2 2
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 6 0 2 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 7 0 2 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 10 0 3 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 16 0 5 1
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 17 0 5 2
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 18 0 5 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 19 0 5 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 20 0 6 1
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 21 0 6 2
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 22 0 6 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 23 0 6 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 32 0 9 1
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 33 0 9 2
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 34 0 9 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 35 0 9 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 37 0 10 2
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 38 0 10 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 39 0 10 4
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 42 0 11 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 50 0 13 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 54 0 14 3
ztf_20180626482442_000728_zr 2018-06-26 11:34:44.646+00 728 r 120.0 1.14500003390842 2.365286933051215 20.660193549262154 55 0 14 4
